grid_id,Acraea andromacha,Acraea terpsicore,n_species
505,1,0,1
533,2,0,1
567,1,0,1
634,5,0,1
695,17,0,1
768,1,0,1
837,3,0,1
838,5,0,1
908,2,0,1
910,1,0,1
980,2,0,1
981,2,0,1
983,11,0,1
1058,1,0,1
1060,1,0,1
1133,1,0,1
1134,7,0,1
1135,9,0,1
1136,1,0,1
1137,2,0,1
1138,1,0,1
1224,5,0,1
1228,1,0,1
1310,1,0,1
1313,1,0,1
1321,2,0,1
1405,1,0,1
1410,2,0,1
1416,1,0,1
1514,1,0,1
1518,1,0,1
1622,1,0,1
1711,1,0,1
1721,2,0,1
1725,1,0,1
1726,1,0,1
1728,14,0,1
1835,1,0,1
1943,3,0,1
1944,1,0,1
1948,2,0,1
1949,2,0,1
1950,1,0,1
1951,7,0,1
2065,1,0,1
2066,1,0,1
2067,9,0,1
2184,2,0,1
2186,2,0,1
2193,2,0,1
2316,1,0,1
2319,4,0,1
2320,1,0,1
2322,1,0,1
2324,4,0,1
2453,1,0,1
2461,1,0,1
2598,1,0,1
2599,1,0,1
2603,12,2,2
2747,1,0,1
2748,13,0,1
2749,4,0,1
2750,1,0,1
2751,5,0,1
2752,5,0,1
2754,29,6,2
2904,4,0,1
2905,1,0,1
3042,1,0,1
3043,2,0,1
3050,1,0,1
3053,1,0,1
3054,2,0,1
3055,0,1,1
3196,1,0,1
3198,1,0,1
3199,15,1,2
3205,1,1,2
3206,2,0,1
3350,2,0,1
3355,2,0,1
3356,1,0,1
3359,6,0,1
3360,2,0,1
3506,1,0,1
3507,1,0,1
3508,1,0,1
3663,4,0,1
3665,3,0,1
3669,4,0,1
3670,9,0,1
3818,1,1,2
3819,6,0,1
3820,1,0,1
3821,3,0,1
3823,1,0,1
3824,1,0,1
3825,3,0,1
3826,6,0,1
3976,4,0,1
3977,2,0,1
3978,2,0,1
3982,2,0,1
3983,3,4,2
4134,3,0,1
4135,4,0,1
4136,3,0,1
4137,1,0,1
4138,7,0,1
4139,4,1,2
4140,2,0,1
4141,27,1,2
4292,1,0,1
4293,4,0,1
4295,5,0,1
4296,3,2,2
4297,8,2,2
4298,21,1,2
4299,4,0,1
4447,1,0,1
4449,1,0,1
4450,3,0,1
4452,2,0,1
4453,16,0,1
4454,12,0,1
4455,25,0,1
4456,20,1,2
4457,3,3,2
4479,1,0,1
4607,1,0,1
4611,4,0,1
4612,5,0,1
4613,37,0,1
4614,107,2,2
4615,52,6,2
4616,7,0,1
4769,12,0,1
4770,2,0,1
4771,58,0,1
4772,11,0,1
4773,1,0,1
4774,50,3,2
4775,175,43,2
4776,219,9,2
4778,5,0,1
4928,1,0,1
4931,1,0,1
4933,13,0,1
4934,17,1,2
4935,12,1,2
4936,12,0,1
4937,51,2,2
4938,30,0,1
5094,2,0,1
5096,4,0,1
5097,1,0,1
5099,1,0,1
5100,10,4,2
5101,14,2,2
5251,1,0,1
5259,5,0,1
5260,1,0,1
5261,2,0,1
