grid_id,Passifloraceae,Acraea andromacha,Acraea terpsicore,n_species
13,2,0,0,3
14,1,0,0,3
15,1,0,0,3
16,1,0,0,3
21,1,0,0,3
22,6,0,0,3
24,12,0,0,3
31,28,0,0,3
43,1,0,0,3
54,1,0,0,3
67,2,0,0,3
95,1,0,0,3
100,48,0,0,3
104,3,0,0,3
111,1,0,0,3
113,4,0,0,3
117,2,0,0,3
124,8,0,0,3
127,1,0,0,3
136,5,0,0,3
141,2,0,0,3
155,1,0,0,3
168,1,0,0,3
169,5,0,0,3
174,1,0,0,3
175,8,0,0,3
176,1,0,0,3
181,6,0,0,3
182,26,0,0,3
183,3,0,0,3
187,1,0,0,3
190,3,0,0,3
196,1,0,0,3
199,4,0,0,3
200,7,0,0,3
202,6,0,0,3
203,13,0,0,3
204,1,0,0,3
207,8,0,0,3
208,3,0,0,3
210,1,0,0,3
220,2,0,0,3
221,1,0,0,3
226,3,0,0,3
227,1,0,0,3
228,1,0,0,3
229,28,0,0,3
230,19,0,0,3
231,10,0,0,3
232,3,0,0,3
234,3,0,0,3
236,1,0,0,3
237,1,0,0,3
238,2,0,0,3
239,2,0,0,3
240,2,0,0,3
242,5,0,0,3
243,4,0,0,3
246,1,0,0,3
261,8,0,0,3
262,75,0,0,3
263,161,0,0,3
264,16,0,0,3
265,1,0,0,3
269,1,0,0,3
270,3,0,0,3
271,2,0,0,3
272,13,0,0,3
273,3,0,0,3
274,11,0,0,3
275,9,0,0,3
276,4,0,0,3
277,5,0,0,3
278,3,0,0,3
279,26,0,0,3
280,2,0,0,3
282,1,0,0,3
283,1,0,0,3
293,2,0,0,3
295,1,0,0,3
296,6,0,0,3
297,45,0,0,3
298,15,0,0,3
299,1,0,0,3
300,2,0,0,3
307,4,0,0,3
308,4,0,0,3
309,1,0,0,3
310,5,0,0,3
313,2,0,0,3
314,2,0,0,3
315,12,0,0,3
331,3,0,0,3
332,5,0,0,3
333,2,0,0,3
345,1,0,0,3
349,2,0,0,3
351,37,0,0,3
367,1,0,0,3
388,11,0,0,3
389,4,0,0,3
399,2,0,0,3
405,1,0,0,3
409,1,0,0,3
425,2,0,0,3
426,2,0,0,3
427,8,0,0,3
449,3,0,0,3
454,1,0,0,3
464,2,0,0,3
465,11,0,0,3
466,28,0,0,3
487,1,0,0,3
504,4,0,0,3
505,13,1,0,3
532,1,0,0,3
533,1,4,0,3
544,10,0,0,3
545,42,0,0,3
567,0,1,0,3
571,1,0,0,3
586,6,0,0,3
587,32,0,0,3
588,17,0,0,3
592,1,0,0,3
593,1,0,0,3
595,1,0,0,3
619,2,0,0,3
634,40,5,0,3
638,9,0,0,3
639,38,0,0,3
646,1,0,0,3
695,112,18,0,3
696,1,0,0,3
700,11,0,0,3
701,20,0,0,3
715,1,0,0,3
756,1,0,0,3
757,1,0,0,3
767,2,0,0,3
768,10,1,0,3
769,33,0,0,3
770,7,0,0,3
794,1,0,0,3
833,1,0,0,3
837,15,3,0,3
838,8,5,0,3
839,17,0,0,3
840,63,0,0,3
845,2,0,0,3
898,2,0,0,3
899,3,0,0,3
906,1,0,0,3
907,1,0,0,3
908,12,2,0,3
909,58,1,0,3
910,25,1,0,3
911,3,0,0,3
912,1,0,0,3
938,7,0,0,3
980,0,2,0,3
981,5,2,0,3
982,45,0,0,3
983,138,11,0,3
984,71,0,0,3
985,2,0,0,3
986,1,0,0,3
1012,1,0,0,3
1013,22,0,0,3
1056,2,0,0,3
1057,9,0,0,3
1058,51,1,0,3
1059,316,2,0,3
1060,155,1,0,3
1090,2,0,0,3
1133,12,1,0,3
1134,26,7,0,3
1135,257,9,0,3
1136,242,1,0,3
1137,358,2,0,3
1138,19,1,0,3
1140,0,2,0,3
1163,1,0,0,3
1187,1,0,0,3
1194,1,0,0,3
1223,1,0,0,3
1224,8,5,0,3
1225,57,0,0,3
1226,27,0,0,3
1227,26,0,0,3
1228,61,1,0,3
1229,2,0,0,3
1309,3,0,0,3
1310,0,1,0,3
1312,1,0,0,3
1313,1,1,0,3
1315,3,0,0,3
1316,2,0,0,3
1318,1,0,0,3
1319,1,0,0,3
1320,32,0,0,3
1321,35,2,0,3
1323,1,0,0,3
1405,0,1,0,3
1410,6,2,0,3
1413,4,0,0,3
1414,22,0,0,3
1415,91,1,0,3
1416,31,2,0,3
1417,2,0,0,3
1420,1,0,0,3
1503,1,0,0,3
1512,1,0,0,3
1514,8,1,0,3
1515,10,0,0,3
1516,16,1,0,3
1517,16,0,0,3
1518,19,1,0,3
1519,1,0,0,3
1520,17,0,0,3
1523,2,0,0,3
1611,1,0,0,3
1617,1,0,0,3
1618,14,0,0,3
1619,3,0,0,3
1620,9,0,0,3
1621,3,0,0,3
1622,6,1,0,3
1623,33,1,0,3
1625,2,0,0,3
1711,0,1,0,3
1718,1,0,0,3
1721,1,2,0,3
1722,15,0,0,3
1723,18,0,0,3
1724,1,0,0,3
1725,4,1,0,3
1726,6,1,0,3
1727,5,0,0,3
1728,28,16,0,3
1730,3,0,0,3
1830,1,0,0,3
1831,1,0,0,3
1832,1,0,0,3
1834,5,0,0,3
1835,19,1,0,3
1836,2,0,0,3
1837,18,3,0,3
1838,2,0,1,3
1844,2,0,0,3
1943,3,3,0,3
1944,0,1,0,3
1946,1,0,0,3
1947,8,0,0,3
1948,7,2,0,3
1949,26,2,0,3
1950,13,1,0,3
1951,66,10,0,3
2059,1,0,0,3
2062,2,0,0,3
2063,1,0,0,3
2065,4,2,0,3
2066,12,1,0,3
2067,141,13,0,3
2068,2,0,0,3
2184,0,2,0,3
2186,0,2,0,3
2190,6,0,0,3
2191,2,0,0,3
2192,7,0,0,3
2193,9,2,0,3
2316,0,1,0,3
2319,0,4,0,3
2320,0,1,0,3
2322,0,1,0,3
2323,6,0,0,3
2324,13,4,0,3
2438,1,0,0,3
2448,1,0,0,3
2453,0,3,0,3
2457,1,0,0,3
2458,3,1,0,3
2459,9,0,0,3
2460,4,0,0,3
2461,17,1,0,3
2589,1,0,0,3
2592,0,1,0,3
2593,1,0,0,3
2597,1,0,0,3
2598,0,1,0,3
2599,4,1,0,3
2600,3,0,0,3
2602,1,0,0,3
2603,68,13,2,3
2604,2,0,0,3
2747,0,1,0,3
2748,1,13,0,3
2749,0,4,0,3
2750,0,1,0,3
2751,0,5,0,3
2752,26,5,0,3
2753,26,0,0,3
2754,215,41,7,3
2884,1,0,0,3
2902,7,0,0,3
2903,5,0,0,3
2904,82,4,0,3
2905,1,2,0,3
3042,1,1,0,3
3043,0,2,0,3
3050,0,1,0,3
3053,4,1,0,3
3054,10,3,0,3
3055,13,0,1,3
3196,0,3,1,3
3198,0,1,0,3
3199,0,15,1,3
3202,1,0,0,3
3204,2,0,0,3
3205,4,3,1,3
