grid_id,Acraea andromacha,Acraea terpsicore,Afrohybanthus enneaspermus,Adenia heterophylla,n_species
505,1,0,0,0,4
533,2,0,0,0,4
567,1,0,0,0,4
634,5,0,0,0,4
695,17,0,0,0,4
768,1,0,0,0,4
837,3,0,0,0,4
838,5,0,0,0,4
908,2,0,0,0,4
910,1,0,0,0,4
980,2,0,0,0,4
981,2,0,0,0,4
983,11,0,0,0,4
1058,1,0,0,0,4
1060,1,0,0,0,4
1133,1,0,0,0,4
1134,7,0,0,0,4
1135,9,0,0,0,4
1136,1,0,0,0,4
1137,2,0,0,0,4
1138,1,0,0,0,4
1224,5,0,0,0,4
1228,1,0,0,0,4
1310,1,0,0,0,4
1313,1,0,0,0,4
1321,2,0,0,0,4
1405,1,0,0,0,4
1410,2,0,0,0,4
1416,1,0,0,0,4
1514,1,0,0,0,4
1518,1,0,0,0,4
1622,1,0,0,0,4
1711,1,0,0,0,4
1721,2,0,0,0,4
1725,1,0,0,0,4
1726,1,0,0,0,4
1728,14,0,0,0,4
1835,1,0,0,0,4
1943,3,0,0,0,4
1944,1,0,0,0,4
1948,2,0,0,0,4
1949,2,0,0,0,4
1950,1,0,0,0,4
1951,7,0,0,0,4
2065,1,0,0,0,4
2066,1,0,0,0,4
2067,9,0,0,0,4
2184,2,0,0,0,4
2186,2,0,0,0,4
2193,2,0,0,0,4
2316,1,0,0,0,4
2319,4,0,0,0,4
2320,1,0,0,0,4
2322,1,0,0,0,4
2324,4,0,0,0,4
2453,1,0,0,0,4
2461,1,0,0,0,4
2598,1,0,0,0,4
2599,1,0,0,0,4
2603,12,2,0,0,4
2747,1,0,0,0,4
2748,13,0,0,0,4
2749,4,0,0,0,4
2750,1,0,0,0,4
2751,5,0,0,0,4
2752,5,0,0,0,4
2754,29,6,0,0,4
2904,4,0,0,0,4
2905,1,0,0,0,4
3042,1,0,0,0,4
3043,2,0,0,0,4
3050,1,0,0,0,4
3053,1,0,0,0,4
3054,2,0,0,0,4
3055,0,1,0,0,4
3196,1,0,0,0,4
3198,1,0,0,0,4
3199,15,1,0,0,4
3205,1,1,0,0,4
3206,2,0,0,0,4
3350,2,0,0,0,4
3355,2,0,0,0,4
3356,1,0,0,0,4
3359,6,0,0,0,4
3360,2,0,0,0,4
3506,1,0,0,0,4
3507,1,0,0,0,4
3508,1,0,0,0,4
3663,4,0,0,0,4
3665,3,0,0,0,4
3669,4,0,0,0,4
3670,9,0,0,0,4
3818,1,1,0,0,4
3819,6,0,0,0,4
3820,1,0,0,0,4
3821,3,0,0,0,4
3823,1,0,0,0,4
3824,1,0,0,0,4
3825,3,0,0,0,4
3826,6,0,0,0,4
3976,4,0,0,0,4
3977,2,0,0,0,4
3978,2,0,0,0,4
3982,2,0,0,0,4
3983,3,4,0,0,4
4134,3,0,0,0,4
4135,4,0,0,0,4
4136,3,0,0,0,4
4137,1,0,0,0,4
4138,7,0,0,0,4
4139,4,1,0,0,4
4140,2,0,0,0,4
4141,27,1,0,0,4
4292,1,0,0,0,4
4293,4,0,0,0,4
4295,5,0,0,0,4
4296,3,2,0,0,4
4297,8,2,0,0,4
4298,21,1,0,0,4
4299,4,0,0,0,4
4447,1,0,0,0,4
4449,1,0,0,0,4
4450,3,0,0,0,4
4452,2,0,0,0,4
4453,16,0,0,0,4
4454,12,0,0,0,4
4455,25,0,0,0,4
4456,20,1,0,0,4
4457,3,3,0,0,4
4479,1,0,0,0,4
4607,1,0,0,0,4
4611,4,0,0,0,4
4612,5,0,0,0,4
4613,37,0,0,0,4
4614,107,2,0,0,4
4615,52,6,0,0,4
4616,7,0,0,0,4
4769,12,0,0,0,4
4770,2,0,0,0,4
4771,58,0,0,0,4
4772,11,0,0,0,4
4773,1,0,0,0,4
4774,50,3,0,0,4
4775,175,43,0,0,4
4776,219,9,0,0,4
4778,5,0,0,0,4
4928,1,0,0,0,4
4931,1,0,0,0,4
4933,13,0,0,0,4
4934,17,1,0,0,4
4935,12,1,0,0,4
4936,12,0,0,0,4
4937,51,2,0,0,4
4938,30,0,0,0,4
5094,2,0,0,0,4
5096,4,0,0,0,4
5097,1,0,0,0,4
5099,1,0,0,0,4
5100,10,4,0,0,4
5101,14,2,0,0,4
5251,1,0,0,0,4
5259,5,0,0,0,4
5260,1,0,0,0,4
5261,2,0,0,0,4
5262,2,0,0,0,4
5263,1,0,0,0,4
5264,9,0,0,0,4
5265,11,2,0,0,4
5266,1,0,0,0,4
5420,1,0,0,0,4
5422,1,0,0,0,4
5423,2,0,0,0,4
5424,1,0,0,0,4
5425,1,0,0,0,4
5426,1,0,0,0,4
5428,3,0,0,0,4
5429,6,14,0,0,4
5588,7,0,0,0,4
5590,2,0,0,0,4
5591,1,1,0,0,4
5592,2,0,0,0,4
5593,6,1,0,0,4
5594,23,0,0,0,4
5739,3,1,0,0,4
5744,1,0,0,0,4
5752,2,0,0,0,4
5754,3,0,0,0,4
5755,5,0,0,0,4
5756,1,0,0,0,4
5912,1,0,0,0,4
5918,7,2,0,0,4
5919,3,0,0,0,4
6080,12,3,0,0,4
6081,5,2,0,0,4
