grid_id,Passiflora edulis,Passiflora foetida,Acraea terpsicore,n_species
207,2,0,0,1
229,1,0,0,1
262,1,0,0,1
263,3,0,0,1
264,1,0,0,1
279,2,0,0,1
297,5,0,0,1
298,1,0,0,1
315,1,0,0,1
333,1,0,0,1
351,5,0,0,1
388,2,0,0,1
427,3,0,0,1
449,2,0,0,1
466,9,0,0,1
505,2,0,0,1
545,3,0,0,1
587,5,0,0,1
592,1,0,0,1
638,1,0,0,1
639,7,0,0,1
695,1,0,0,1
701,4,0,0,1
769,6,0,0,1
838,1,0,0,1
839,4,0,0,1
840,2,0,0,1
908,1,0,0,1
909,2,0,0,1
938,3,0,0,1
983,7,0,0,1
984,20,0,0,1
1013,5,0,0,1
1057,1,0,0,1
1058,6,0,0,1
1059,33,0,0,1
1060,26,0,0,1
1134,2,0,0,1
1135,20,0,0,1
1136,37,0,0,1
1137,50,0,0,1
1138,1,0,0,1
1224,1,0,0,1
1225,3,0,0,1
1226,1,0,0,1
1227,2,0,0,1
1228,13,0,0,1
1320,7,0,0,1
1321,8,0,0,1
1413,1,0,0,1
1414,2,0,0,1
1415,8,0,0,1
1416,5,0,0,1
1512,1,0,0,1
1515,3,0,0,1
1516,1,0,0,1
1517,5,0,0,1
1622,3,0,0,1
1623,6,0,0,1
1625,1,1,0,2
1727,1,0,0,1
1728,2,0,0,1
1830,1,0,0,1
1948,1,0,0,1
1949,7,0,0,1
1950,5,0,0,1
1951,14,0,0,1
2063,1,0,0,1
2067,11,0,0,1
2192,1,0,0,1
2458,1,0,0,1
2459,2,0,0,1
2461,2,0,0,1
2603,5,0,2,2
2752,1,0,0,1
2753,8,0,0,1
2754,37,0,6,2
2903,2,0,0,1
2904,13,0,0,1
3053,1,0,0,1
3054,1,0,0,1
3055,2,0,1,2
3199,0,0,1,1
3205,0,0,1,1
3355,1,0,0,1
3358,1,0,0,1
3359,7,3,0,2
3360,1,0,0,1
3516,1,0,0,1
3665,1,0,0,1
3669,2,1,0,2
3670,0,1,0,1
3818,0,0,1,1
3824,1,0,0,1
3825,8,0,0,1
3826,1,0,0,1
3979,1,0,0,1
3982,3,0,0,1
3983,6,2,4,3
4134,1,0,0,1
4137,2,0,0,1
4139,15,0,1,2
4140,8,0,0,1
4141,13,3,1,3
4295,6,0,0,1
4296,1,0,2,2
4297,0,0,2,1
4298,17,2,1,3
4299,11,4,0,2
4452,1,0,0,1
4453,7,0,0,1
4454,0,1,0,1
4455,4,2,0,2
4456,29,3,1,3
4457,4,3,3,3
4613,2,1,0,2
4614,27,9,2,3
4615,44,6,6,3
4616,0,5,0,1
4771,0,1,0,1
4772,1,0,0,1
4773,1,31,0,2
4774,0,7,3,2
4775,45,34,43,3
4776,29,42,9,3
4777,1,1,0,2
4933,1,0,0,1
4934,10,0,1,2
4935,5,0,1,2
4936,1,0,0,1
4937,15,6,2,3
4938,3,8,0,2
4939,0,3,0,1
4940,0,1,0,1
5099,3,0,0,1
5100,4,4,4,3
5101,6,5,2,3
5102,0,1,0,1
5261,1,0,0,1
5262,1,0,0,1
5264,6,2,0,2
5265,22,15,2,3
5266,0,1,0,1
5427,1,0,0,1
5428,5,1,0,2
5429,14,3,14,3
5430,0,1,0,1
5591,0,0,1,1
5592,3,0,0,1
5593,4,4,1,3
5594,0,3,0,1
5739,0,0,1,1
5755,0,2,0,1
5756,1,1,0,2
5917,0,1,0,1
5918,0,4,2,2
6079,0,1,0,1
6080,0,4,3,2
6081,2,2,2,3
6239,0,1,0,1
6241,0,1,1,2
6242,1,0,0,1
6243,0,5,3,2
6244,1,3,3,3
6245,0,2,0,1
6246,0,1,0,1
6404,0,0,1,1
6407,1,3,0,2
6408,4,27,1,3
6410,4,2,0,2
6556,0,0,1,1
6570,0,1,1,2
6574,0,1,0,1
6725,0,0,2,1
6734,0,1,0,1
6735,0,6,2,2
6736,1,9,1,3
6881,0,1,1,2
6899,0,2,0,1
7054,0,0,1,1
7058,0,0,1,1
7210,0,1,0,1
7214,0,1,0,1
7216,1,0,0,1
7217,0,0,1,1
7218,1,9,0,2
7363,0,0,1,1
7371,0,1,0,1
7372,0,0,1,1
7375,0,3,0,1
7377,0,1,0,1
7529,0,1,0,1
7533,0,8,2,2
7534,0,2,0,1
7679,0,0,1,1
7691,0,2,0,1
7835,0,0,1,1
7836,0,0,1,1
7840,0,1,0,1
7841,0,0,1,1
7845,0,1,0,1
7993,0,1,2,2
7994,0,1,0,1
7995,0,0,1,1
7997,0,1,0,1
8003,0,0,2,1
8004,0,4,0,1
8005,1,3,0,2
8120,0,0,1,1
8137,0,0,1,1
8141,0,0,1,1
8142,0,0,3,1
8158,0,0,1,1
8159,0,2,0,1
8160,1,4,0,2
8245,0,0,1,1
8288,0,0,1,1
8303,0,1,2,2
8309,0,0,1,1
8313,0,1,0,1
8463,0,0,1,1
8466,0,1,0,1
8619,0,1,0,1
8754,0,0,1,1
8765,0,0,1,1
8766,0,0,1,1
8770,0,2,4,2
8893,0,0,4,1
