V1,recordID,scientificName,taxonConceptID,decimalLatitude,decimalLongitude,eventDate,occurrenceStatus,dataResourceName,group
1,001b2d3d-c195-4d56-9992-00b6e19d5c0c,Acraea terpsicore,https://biodiversity.org.au/afd/taxa/ba632bea-a7b4-4b60-bf89-d63128cad841,-22.159952,146.434071,2022-04-02T08:16:21Z,PRESENT,iNaturalist Australia,Acraea terpsicore
2,00204ab0-9233-46b1-8cca-464e5c0f1a8c,Acraea terpsicore,https://biodiversity.org.au/afd/taxa/ba632bea-a7b4-4b60-bf89-d63128cad841,-15.641154,135.711834,2023-06-16T12:09:00Z,PRESENT,iNaturalist Australia,Acraea terpsicore
3,0023bfb1-d869-445d-b9ef-5c87ca77e200,Acraea terpsicore,https://biodiversity.org.au/afd/taxa/ba632bea-a7b4-4b60-bf89-d63128cad841,-16.527194,145.47365,2025-07-21T08:54:34Z,PRESENT,iNaturalist Australia,Acraea terpsicore
4,0044fff9-b68a-4ab5-9ef2-4a6638b60684,Acraea terpsicore,https://biodiversity.org.au/afd/taxa/ba632bea-a7b4-4b60-bf89-d63128cad841,-27.486492,152.950487,2021-10-03T23:27:00Z,PRESENT,iNaturalist Australia,Acraea terpsicore
5,004e54b2-2a59-477f-b921-47a7f09b7e9d,Acraea terpsicore,https://biodiversity.org.au/afd/taxa/ba632bea-a7b4-4b60-bf89-d63128cad841,-14.452114,132.271515,2023-05-15T14:07:00Z,PRESENT,iNaturalist Australia,Acraea terpsicore
6,004fcf3d-399d-4b57-b7d3-e4e8bcc1b0bc,Acraea terpsicore,https://biodiversity.org.au/afd/taxa/ba632bea-a7b4-4b60-bf89-d63128cad841,-16.497694,145.003443,2019-08-18T09:01:00Z,PRESENT,iNaturalist Australia,Acraea terpsicore
7,006812ae-895b-4b0b-93c5-c2c26ce66c2a,Acraea terpsicore,https://biodiversity.org.au/afd/taxa/ba632bea-a7b4-4b60-bf89-d63128cad841,-20.588818,139.54348,2025-08-30T12:09:00Z,PRESENT,iNaturalist Australia,Acraea terpsicore
8,00714a80-1102-4929-bd12-f451d889a432,Acraea terpsicore,https://biodiversity.org.au/afd/taxa/ba632bea-a7b4-4b60-bf89-d63128cad841,-19.245129,146.786648,2022-10-27T08:27:00Z,PRESENT,iNaturalist Australia,Acraea terpsicore
9,00a0fff5-07b2-4be8-b92e-ff623ea6e26e,Acraea terpsicore,https://biodiversity.org.au/afd/taxa/ba632bea-a7b4-4b60-bf89-d63128cad841,-12.70994,131.090185,2025-01-19T07:26:00Z,PRESENT,iNaturalist Australia,Acraea terpsicore
10,00c0f624-0c37-4fad-a604-1b19be2176d9,Acraea terpsicore,https://biodiversity.org.au/afd/taxa/ba632bea-a7b4-4b60-bf89-d63128cad841,-15.648429,135.758556,2023-06-16T10:54:00Z,PRESENT,iNaturalist Australia,Acraea terpsicore
11,00e40328-e63c-416e-9622-11abd294e113,Acraea terpsicore,https://biodiversity.org.au/afd/taxa/ba632bea-a7b4-4b60-bf89-d63128cad841,-18.2214,144.6666,2021-03-21T12:30:00Z,PRESENT,Butterflies Australia,Acraea terpsicore
12,01115dd0-3423-49d9-bb2d-8dcf069f8c30,Acraea terpsicore,https://biodiversity.org.au/afd/taxa/ba632bea-a7b4-4b60-bf89-d63128cad841,-20.01522,148.26562,2025-02-03T05:53:00Z,PRESENT,Butterflies Australia,Acraea terpsicore
13,01466a57-63e8-4b7c-bc62-79adef787dc6,Acraea terpsicore,https://biodiversity.org.au/afd/taxa/ba632bea-a7b4-4b60-bf89-d63128cad841,-17.051269,145.374811,2022-06-18T11:40:28Z,PRESENT,iNaturalist Australia,Acraea terpsicore
14,01559586-2cbf-4f6d-857d-cf42f80c598c,Acraea terpsicore,https://biodiversity.org.au/afd/taxa/ba632bea-a7b4-4b60-bf89-d63128cad841,-14.180206,132.190483,2023-05-09T12:33:00Z,PRESENT,iNaturalist Australia,Acraea terpsicore
15,0156c8e9-2016-4919-8bc0-7e2bc60ca3f4,Acraea terpsicore,https://biodiversity.org.au/afd/taxa/ba632bea-a7b4-4b60-bf89-d63128cad841,-14.139527,134.474544,2025-08-05T13:32:00Z,PRESENT,iNaturalist Australia,Acraea terpsicore
16,01823edd-cec8-41a6-bf34-d952f4c6224a,Acraea terpsicore,https://biodiversity.org.au/afd/taxa/ba632bea-a7b4-4b60-bf89-d63128cad841,-19.064337,138.893823,2025-06-25T10:38:00Z,PRESENT,iNaturalist Australia,Acraea terpsicore
17,01a292c4-bbcb-4e60-ae07-f93b6869bfa3,Acraea terpsicore,https://biodiversity.org.au/afd/taxa/ba632bea-a7b4-4b60-bf89-d63128cad841,-14.184699,132.036624,2023-05-09T09:42:00Z,PRESENT,iNaturalist Australia,Acraea terpsicore
18,01a37baf-da81-4ddb-a61d-73da4c04687e,Acraea terpsicore,https://biodiversity.org.au/afd/taxa/ba632bea-a7b4-4b60-bf89-d63128cad841,-16.995939,125.205064,2024-06-07T11:48:00Z,PRESENT,iNaturalist Australia,Acraea terpsicore
19,01e62b52-8735-41d4-a6a4-94e021f99901,Acraea terpsicore,https://biodiversity.org.au/afd/taxa/ba632bea-a7b4-4b60-bf89-d63128cad841,-13.55331,132.27159,2019-11-29T00:00:00Z,PRESENT,Fauna Atlas N.T.,Acraea terpsicore
20,0207ec2a-b3c4-4f93-91cb-05b8edbc008e,Acraea terpsicore,https://biodiversity.org.au/afd/taxa/ba632bea-a7b4-4b60-bf89-d63128cad841,-21.939228,146.625252,2022-09-17T08:27:00Z,PRESENT,iNaturalist Australia,Acraea terpsicore
