grid_id,Acraea terpsicore,n_species
1838,1,1
2603,2,1
2754,7,1
3055,1,1
3196,1,1
3199,1,1
3205,1,1
3818,1,1
3983,4,1
4139,1,1
4141,1,1
4296,2,1
4297,2,1
4298,1,1
4456,1,1
4457,3,1
4614,2,1
4615,6,1
4771,1,1
4773,2,1
4774,3,1
4775,46,1
4776,10,1
4934,1,1
4935,1,1
4937,2,1
5100,4,1
5101,2,1
5265,2,1
5429,15,1
5591,1,1
5593,1,1
5739,2,1
5918,2,1
6080,3,1
6081,2,1
6239,1,1
6241,1,1
6243,3,1
6244,3,1
6404,1,1
6408,2,1
6556,1,1
6570,1,1
6725,2,1
6735,2,1
6736,1,1
6881,1,1
7022,2,1
7054,1,1
7058,1,1
7217,1,1
7347,1,1
7363,1,1
7372,1,1
7509,1,1
7533,2,1
7679,1,1
7835,1,1
7836,1,1
7841,1,1
7993,2,1
7995,1,1
8003,2,1
8120,2,1
8137,1,1
8141,1,1
8142,3,1
8158,1,1
8245,1,1
8288,1,1
8303,2,1
8309,1,1
8463,1,1
8754,1,1
8765,1,1
8766,1,1
8770,4,1
8893,5,1
8899,1,1
8908,1,1
9038,1,1
9052,1,1
9060,2,1
9065,2,1
9185,1,1
9192,2,1
9196,2,1
9197,3,1
9198,1,1
9208,1,1
9210,2,1
9345,3,1
9350,1,1
9351,1,1
9352,2,1
9353,1,1
9355,1,1
9480,1,1
9488,5,1
9495,3,1
9498,11,1
9617,2,1
9618,2,1
9631,1,1
9632,1,1
9633,4,1
9635,5,1
9636,3,1
9758,2,1
9769,1,1
9881,2,1
9897,1,1
9899,2,1
9996,1,1
10011,1,1
10014,1,1
10015,1,1
10022,3,1
10023,1,1
10026,2,1
10028,1,1
10029,2,1
10100,1,1
10118,4,1
10119,6,1
10122,2,1
10123,1,1
10142,1,1
10143,1,1
10144,5,1
10156,2,1
10157,6,1
10264,13,1
10272,8,1
10275,1,1
10279,1,1
10280,6,1
10281,22,1
10282,3,1
10394,1,1
10395,2,1
10399,1,1
10400,1,1
10401,1,1
10509,3,1
10513,6,1
10515,1,1
10594,1,1
10615,1,1
10622,2,1
10624,2,1
10625,1,1
10626,10,1
10627,5,1
10628,2,1
10703,1,1
10705,1,1
10711,1,1
10728,1,1
10735,1,1
10737,5,1
10738,135,1
10739,56,1
10740,1,1
10821,1,1
10833,1,1
10844,1,1
10845,2,1
10846,4,1
10848,1,1
10922,1,1
10944,1,1
10946,2,1
10948,1,1
10952,2,1
10953,1,1
10957,1,1
10958,2,1
10975,1,1
11030,1,1
11033,1,1
11048,2,1
11052,1,1
11053,1,1
11054,2,1
11058,1,1
11059,2,1
11060,9,1
11061,1,1
11133,1,1
11134,1,1
11137,4,1
11154,3,1
11155,3,1
11156,3,1
11168,3,1
11169,4,1
11254,1,1
11255,1,1
11256,1,1
11258,7,1
11259,7,1
11260,3,1
11261,3,1
11262,2,1
11263,13,1
11264,7,1
11266,1,1
11269,1,1
11272,3,1
11283,1,1
11347,1,1
11348,1,1
11351,1,1
11357,19,1
11360,2,1
11364,8,1
11365,9,1
11366,7,1
11367,2,1
11369,6,1
11370,1,1
11371,1,1
11374,1,1
11382,1,1
11446,3,1
11447,2,1
11448,2,1
11454,1,1
11458,1,1
11467,1,1
11470,1,1
11474,2,1
11477,1,1
11486,2,1
11527,1,1
11547,1,1
11548,3,1
11552,2,1
11558,5,1
11559,3,1
11574,2,1
11577,6,1
11578,3,1
11579,1,1
11580,2,1
11587,3,1
11592,2,1
11593,3,1
11607,2,1
11608,1,1
11629,2,1
11650,3,1
11659,17,1
11660,1,1
11661,2,1
11676,7,1
11677,4,1
11678,9,1
11679,24,1
11680,10,1
11696,3,1
11761,2,1
11773,12,1
11776,2,1
11777,5,1
11778,4,1
11779,7,1
11790,1,1
11791,1,1
11792,1,1
11818,1,1
11867,3,1
11872,6,1
11873,23,1
11874,8,1
11877,1,1
11887,1,1
11889,4,1
11936,1,1
11950,1,1
11959,1,1
11960,6,1
11963,5,1
11964,6,1
11965,1,1
11967,1,1
11981,1,1
12028,2,1
12046,2,1
12048,1,1
12053,2,1
12054,17,1
12055,1,1
12056,2,1
12069,1,1
12072,2,1
12073,1,1
12075,2,1
12080,3,1
12090,1,1
12097,1,1
12115,1,1
12130,2,1
12154,2,1
12156,2,1
12160,2,1
12161,4,1
12162,2,1
12168,2,1
12190,1,1
12195,2,1
12216,9,1
12232,6,1
12234,2,1
12236,8,1
12238,1,1
12239,1,1
12246,1,1
12271,3,1
12292,1,1
12293,1,1
12294,1,1
12304,1,1
12309,1,1
12312,4,1
12313,6,1
12314,12,1
12321,4,1
12324,3,1
12343,2,1
12364,2,1
12365,1,1
12385,4,1
12386,1,1
12388,3,1
12398,7,1
12407,1,1
12416,2,1
12418,3,1
12427,1,1
12440,1,1
12441,4,1
12446,2,1
12461,2,1
12464,2,1
12570,3,1
12584,1,1
12597,1,1
12610,6,1
12611,5,1
12619,1,1
12633,1,1
12634,2,1
12646,2,1
12650,2,1
12664,5,1
12665,1,1
12669,2,1
12675,2,1
12718,2,1
12719,23,1
12720,21,1
12748,1,1
12754,4,1
12768,5,1
12769,15,1
12778,4,1
12787,3,1
12813,2,1
12836,1,1
12837,3,1
12846,2,1
12854,4,1
12858,2,1
12859,2,1
12860,2,1
12870,1,1
12879,3,1
12896,1,1
12897,13,1
12898,2,1
12899,2,1
12903,11,1
12904,4,1
12922,1,1
12936,7,1
12941,8,1
12973,2,1
12974,3,1
12978,1,1
13010,1,1
13011,1,1
13013,10,1
13014,6,1
13015,2,1
13016,16,1
13018,1,1
13019,1,1
13020,1,1
13021,1,1
13040,4,1
13046,2,1
13050,6,1
13051,24,1
13052,2,1
13054,1,1
13057,1,1
13079,3,1
13087,4,1
13088,148,1
13089,4,1
13097,3,1
13115,2,1
13119,1,1
13132,1,1
13137,1,1
13175,1,1
13198,2,1
13214,1,1
13222,1,1
13239,2,1
13241,2,1
13262,5,1
13263,3,1
